model_name,layer_index,pc_index,alpha
cspresnet50_classification,320,39,202358.96477251555
cspresnet50_classification,320,40,202358.96477251555
cspresnet50_classification,320,41,95409.54763499944
cspresnet50_classification,320,42,202358.96477251555
cspresnet50_classification,320,43,202358.96477251555
cspresnet50_classification,320,44,95409.54763499944
cspresnet50_classification,320,45,202358.96477251555
cspresnet50_classification,320,46,95409.54763499944
cspresnet50_classification,320,47,202358.96477251555
cspresnet50_classification,320,48,202358.96477251555
cspresnet50_classification,320,49,202358.96477251555
cspresnet50_classification,320,50,202358.96477251555
cspresnet50_classification,320,51,202358.96477251555
cspresnet50_classification,320,52,202358.96477251555
cspresnet50_classification,320,53,202358.96477251555
cspresnet50_classification,320,54,202358.96477251555
cspresnet50_classification,320,55,429193.42601287784
cspresnet50_classification,320,56,202358.96477251555
cspresnet50_classification,320,57,95409.54763499944
cspresnet50_classification,320,58,202358.96477251555
cspresnet50_classification,320,59,202358.96477251555
cspresnet50_classification,320,60,202358.96477251555
cspresnet50_classification,320,61,202358.96477251555
cspresnet50_classification,320,62,202358.96477251555
cspresnet50_classification,320,63,202358.96477251555
cspresnet50_classification,320,64,429193.42601287784
cspresnet50_classification,320,65,202358.96477251555
cspresnet50_classification,320,66,202358.96477251555
cspresnet50_classification,320,67,429193.42601287784
cspresnet50_classification,320,68,429193.42601287784
cspresnet50_classification,320,69,202358.96477251555
cspresnet50_classification,320,70,202358.96477251555
cspresnet50_classification,320,71,429193.42601287784
cspresnet50_classification,320,72,202358.96477251555
cspresnet50_classification,320,73,429193.42601287784
cspresnet50_classification,320,74,202358.96477251555
cspresnet50_classification,320,75,202358.96477251555
cspresnet50_classification,320,76,429193.42601287784
cspresnet50_classification,320,77,202358.96477251555
cspresnet50_classification,320,78,429193.42601287784
cspresnet50_classification,320,79,202358.96477251555
cspresnet50_classification,320,80,202358.96477251555
cspresnet50_classification,320,81,429193.42601287784
cspresnet50_classification,320,82,202358.96477251555
cspresnet50_classification,320,83,202358.96477251555
cspresnet50_classification,320,84,202358.96477251555
cspresnet50_classification,320,85,202358.96477251555
cspresnet50_classification,320,86,429193.42601287784
cspresnet50_classification,320,87,202358.96477251555
cspresnet50_classification,320,88,429193.42601287784
cspresnet50_classification,320,89,429193.42601287784
cspresnet50_classification,320,90,202358.96477251555
cspresnet50_classification,320,91,429193.42601287784
cspresnet50_classification,320,92,202358.96477251555
cspresnet50_classification,320,93,202358.96477251555
cspresnet50_classification,320,94,429193.42601287784
cspresnet50_classification,320,95,202358.96477251555
cspresnet50_classification,320,96,429193.42601287784
cspresnet50_classification,320,97,429193.42601287784
cspresnet50_classification,320,98,202358.96477251555
mobilenetv3_large_100_classification,252,1,429193.42601287784
mobilenetv3_large_100_classification,252,2,95409.54763499944
mobilenetv3_large_100_classification,252,3,95409.54763499944
mobilenetv3_large_100_classification,252,4,95409.54763499944
mobilenetv3_large_100_classification,252,5,95409.54763499944
mobilenetv3_large_100_classification,252,6,202358.96477251555
mobilenetv3_large_100_classification,252,7,95409.54763499944
mobilenetv3_large_100_classification,252,8,202358.96477251555
mobilenetv3_large_100_classification,252,9,202358.96477251555
mobilenetv3_large_100_classification,252,10,202358.96477251555
mobilenetv3_large_100_classification,252,11,202358.96477251555
mobilenetv3_large_100_classification,252,12,202358.96477251555
mobilenetv3_large_100_classification,252,13,202358.96477251555
mobilenetv3_large_100_classification,252,14,202358.96477251555
mobilenetv3_large_100_classification,252,15,202358.96477251555
mobilenetv3_large_100_classification,252,16,202358.96477251555
mobilenetv3_large_100_classification,252,17,202358.96477251555
mobilenetv3_large_100_classification,252,18,202358.96477251555
mobilenetv3_large_100_classification,252,19,202358.96477251555
mobilenetv3_large_100_classification,252,20,202358.96477251555
mobilenetv3_large_100_classification,252,21,202358.96477251555
mobilenetv3_large_100_classification,252,22,429193.42601287784
mobilenetv3_large_100_classification,252,23,429193.42601287784
mobilenetv3_large_100_classification,252,24,202358.96477251555
mobilenetv3_large_100_classification,252,25,429193.42601287784
mobilenetv3_large_100_classification,252,26,429193.42601287784
mobilenetv3_large_100_classification,252,27,429193.42601287784
mobilenetv3_large_100_classification,252,28,202358.96477251555
mobilenetv3_large_100_classification,252,29,202358.96477251555
mobilenetv3_large_100_classification,252,30,429193.42601287784
mobilenetv3_large_100_classification,252,31,429193.42601287784
mobilenetv3_large_100_classification,252,32,202358.96477251555
mobilenetv3_large_100_classification,252,33,202358.96477251555
mobilenetv3_large_100_classification,252,34,429193.42601287784
mobilenetv3_large_100_classification,252,35,202358.96477251555
mobilenetv3_large_100_classification,252,36,202358.96477251555
mobilenetv3_large_100_classification,252,37,429193.42601287784
mobilenetv3_large_100_classification,252,38,202358.96477251555
mobilenetv3_large_100_classification,252,39,202358.96477251555
mobilenetv3_large_100_classification,252,40,429193.42601287784
mobilenetv3_large_100_classification,252,41,202358.96477251555
mobilenetv3_large_100_classification,252,42,202358.96477251555
mobilenetv3_large_100_classification,252,43,429193.42601287784
mobilenetv3_large_100_classification,252,44,202358.96477251555
mobilenetv3_large_100_classification,252,45,429193.42601287784
mobilenetv3_large_100_classification,252,46,202358.96477251555
mobilenetv3_large_100_classification,252,47,429193.42601287784
mobilenetv3_large_100_classification,252,48,202358.96477251555
mobilenetv3_large_100_classification,252,49,429193.42601287784
mobilenetv3_large_100_classification,252,50,202358.96477251555
mobilenetv3_large_100_classification,252,51,202358.96477251555
mobilenetv3_large_100_classification,252,52,429193.42601287784
mobilenetv3_large_100_classification,252,53,202358.96477251555
mobilenetv3_large_100_classification,252,54,202358.96477251555
mobilenetv3_large_100_classification,252,55,429193.42601287784
mobilenetv3_large_100_classification,252,56,202358.96477251555
mobilenetv3_large_100_classification,252,57,202358.96477251555
mobilenetv3_large_100_classification,252,58,429193.42601287784
mobilenetv3_large_100_classification,252,59,202358.96477251555
mobilenetv3_large_100_classification,252,60,202358.96477251555
mobilenetv3_large_100_classification,252,61,429193.42601287784
mobilenetv3_large_100_classification,252,62,429193.42601287784
mobilenetv3_large_100_classification,252,63,429193.42601287784
mobilenetv3_large_100_classification,252,64,429193.42601287784
mobilenetv3_large_100_classification,252,65,429193.42601287784
mobilenetv3_large_100_classification,252,66,429193.42601287784
mobilenetv3_large_100_classification,252,67,429193.42601287784
mobilenetv3_large_100_classification,252,68,429193.42601287784
mobilenetv3_large_100_classification,252,69,429193.42601287784
mobilenetv3_large_100_classification,252,70,202358.96477251555
mobilenetv3_large_100_classification,252,71,429193.42601287784
mobilenetv3_large_100_classification,252,72,429193.42601287784
mobilenetv3_large_100_classification,252,73,429193.42601287784
mobilenetv3_large_100_classification,252,74,429193.42601287784
mobilenetv3_large_100_classification,252,75,429193.42601287784
mobilenetv3_large_100_classification,252,76,429193.42601287784
mobilenetv3_large_100_classification,252,77,429193.42601287784
mobilenetv3_large_100_classification,252,78,910298.1779915227
mobilenetv3_large_100_classification,252,79,429193.42601287784
mobilenetv3_large_100_classification,252,80,429193.42601287784
mobilenetv3_large_100_classification,252,81,429193.42601287784
mobilenetv3_large_100_classification,252,82,202358.96477251555
mobilenetv3_large_100_classification,252,83,202358.96477251555
mobilenetv3_large_100_classification,252,84,202358.96477251555
mobilenetv3_large_100_classification,252,85,429193.42601287784
mobilenetv3_large_100_classification,252,86,429193.42601287784
mobilenetv3_large_100_classification,252,87,202358.96477251555
mobilenetv3_large_100_classification,252,88,429193.42601287784
mobilenetv3_large_100_classification,252,89,429193.42601287784
mobilenetv3_large_100_classification,252,90,202358.96477251555
mobilenetv3_large_100_classification,252,91,429193.42601287784
mobilenetv3_large_100_classification,252,92,202358.96477251555
mobilenetv3_large_100_classification,252,93,429193.42601287784
mobilenetv3_large_100_classification,252,94,429193.42601287784
mobilenetv3_large_100_classification,252,95,429193.42601287784
mobilenetv3_large_100_classification,252,96,429193.42601287784
mobilenetv3_large_100_classification,252,97,429193.42601287784
mobilenetv3_large_100_classification,252,98,429193.42601287784
ghostnet_100_classification,290,1,202358.96477251555
