model_name,layer_index,pc_index,alpha
eca_nfnet_l0_classification,134,18,429193.42601287784
eca_nfnet_l0_classification,134,19,202358.96477251555
eca_nfnet_l0_classification,134,20,202358.96477251555
eca_nfnet_l0_classification,134,21,202358.96477251555
eca_nfnet_l0_classification,134,22,202358.96477251555
eca_nfnet_l0_classification,134,23,202358.96477251555
eca_nfnet_l0_classification,134,24,202358.96477251555
eca_nfnet_l0_classification,134,25,202358.96477251555
eca_nfnet_l0_classification,134,26,429193.42601287784
eca_nfnet_l0_classification,134,27,202358.96477251555
eca_nfnet_l0_classification,134,28,429193.42601287784
eca_nfnet_l0_classification,134,29,202358.96477251555
eca_nfnet_l0_classification,134,30,202358.96477251555
eca_nfnet_l0_classification,134,31,202358.96477251555
eca_nfnet_l0_classification,134,32,202358.96477251555
eca_nfnet_l0_classification,134,33,202358.96477251555
eca_nfnet_l0_classification,134,34,429193.42601287784
eca_nfnet_l0_classification,134,35,202358.96477251555
eca_nfnet_l0_classification,134,36,202358.96477251555
eca_nfnet_l0_classification,134,37,202358.96477251555
eca_nfnet_l0_classification,134,38,202358.96477251555
eca_nfnet_l0_classification,134,39,202358.96477251555
eca_nfnet_l0_classification,134,40,202358.96477251555
eca_nfnet_l0_classification,134,41,429193.42601287784
eca_nfnet_l0_classification,134,42,202358.96477251555
eca_nfnet_l0_classification,134,43,202358.96477251555
eca_nfnet_l0_classification,134,44,429193.42601287784
eca_nfnet_l0_classification,134,45,202358.96477251555
eca_nfnet_l0_classification,134,46,429193.42601287784
eca_nfnet_l0_classification,134,47,202358.96477251555
eca_nfnet_l0_classification,134,48,95409.54763499944
eca_nfnet_l0_classification,134,49,202358.96477251555
eca_nfnet_l0_classification,134,50,202358.96477251555
eca_nfnet_l0_classification,134,51,202358.96477251555
eca_nfnet_l0_classification,134,52,429193.42601287784
eca_nfnet_l0_classification,134,53,202358.96477251555
eca_nfnet_l0_classification,134,54,202358.96477251555
eca_nfnet_l0_classification,134,55,202358.96477251555
eca_nfnet_l0_classification,134,56,202358.96477251555
eca_nfnet_l0_classification,134,57,202358.96477251555
eca_nfnet_l0_classification,134,58,202358.96477251555
eca_nfnet_l0_classification,134,59,429193.42601287784
eca_nfnet_l0_classification,134,60,429193.42601287784
eca_nfnet_l0_classification,134,61,202358.96477251555
eca_nfnet_l0_classification,134,62,202358.96477251555
eca_nfnet_l0_classification,134,63,202358.96477251555
eca_nfnet_l0_classification,134,64,202358.96477251555
eca_nfnet_l0_classification,134,65,202358.96477251555
eca_nfnet_l0_classification,134,66,202358.96477251555
eca_nfnet_l0_classification,134,67,429193.42601287784
eca_nfnet_l0_classification,134,68,429193.42601287784
eca_nfnet_l0_classification,134,69,202358.96477251555
eca_nfnet_l0_classification,134,70,202358.96477251555
eca_nfnet_l0_classification,134,71,202358.96477251555
eca_nfnet_l0_classification,134,72,202358.96477251555
eca_nfnet_l0_classification,134,73,429193.42601287784
eca_nfnet_l0_classification,134,74,202358.96477251555
eca_nfnet_l0_classification,134,75,429193.42601287784
eca_nfnet_l0_classification,134,76,202358.96477251555
eca_nfnet_l0_classification,134,77,202358.96477251555
eca_nfnet_l0_classification,134,78,429193.42601287784
eca_nfnet_l0_classification,134,79,202358.96477251555
eca_nfnet_l0_classification,134,80,202358.96477251555
eca_nfnet_l0_classification,134,81,429193.42601287784
eca_nfnet_l0_classification,134,82,202358.96477251555
eca_nfnet_l0_classification,134,83,202358.96477251555
eca_nfnet_l0_classification,134,84,429193.42601287784
eca_nfnet_l0_classification,134,85,202358.96477251555
eca_nfnet_l0_classification,134,86,429193.42601287784
eca_nfnet_l0_classification,134,87,202358.96477251555
eca_nfnet_l0_classification,134,88,202358.96477251555
eca_nfnet_l0_classification,134,89,202358.96477251555
eca_nfnet_l0_classification,134,90,202358.96477251555
eca_nfnet_l0_classification,134,91,202358.96477251555
eca_nfnet_l0_classification,134,92,202358.96477251555
eca_nfnet_l0_classification,134,93,429193.42601287784
eca_nfnet_l0_classification,134,94,202358.96477251555
eca_nfnet_l0_classification,134,95,202358.96477251555
eca_nfnet_l0_classification,134,96,429193.42601287784
eca_nfnet_l0_classification,134,97,429193.42601287784
eca_nfnet_l0_classification,134,98,429193.42601287784
eca_nfnet_l0_classification,134,99,429193.42601287784
eca_nfnet_l0_classification,134,100,429193.42601287784
eca_nfnet_l0_classification,134,101,202358.96477251555
eca_nfnet_l0_classification,134,102,202358.96477251555
eca_nfnet_l0_classification,134,103,429193.42601287784
eca_nfnet_l0_classification,134,104,202358.96477251555
eca_nfnet_l0_classification,134,105,202358.96477251555
eca_nfnet_l0_classification,134,106,202358.96477251555
eca_nfnet_l0_classification,134,107,429193.42601287784
eca_nfnet_l0_classification,134,108,202358.96477251555
eca_nfnet_l0_classification,134,109,202358.96477251555
eca_nfnet_l0_classification,134,110,429193.42601287784
eca_nfnet_l0_classification,134,111,429193.42601287784
eca_nfnet_l0_classification,134,112,202358.96477251555
eca_nfnet_l0_classification,134,113,429193.42601287784
eca_nfnet_l0_classification,134,114,429193.42601287784
eca_nfnet_l0_classification,134,115,202358.96477251555
eca_nfnet_l0_classification,134,116,429193.42601287784
eca_nfnet_l0_classification,134,117,202358.96477251555
eca_nfnet_l0_classification,134,118,202358.96477251555
eca_nfnet_l0_classification,134,119,202358.96477251555
eca_nfnet_l0_classification,134,120,202358.96477251555
eca_nfnet_l0_classification,134,121,429193.42601287784
eca_nfnet_l0_classification,134,122,429193.42601287784
